date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity
2019-09-22,2019,9,22,chokepoint6,Strait of Hormuz,12,15,1,3,48,31,79,245412,235626,14686,4476,2093388,500202,2593591
2019-09-23,2019,9,23,chokepoint6,Strait of Hormuz,11,14,3,3,37,31,68,312538,260668,13620,10218,1382350,597046,1979396
2019-09-24,2019,9,24,chokepoint6,Strait of Hormuz,11,11,3,3,42,28,70,530113,421457,10249,8462,1476182,970282,2446464
2019-09-25,2019,9,25,chokepoint6,Strait of Hormuz,15,13,2,1,40,31,71,475503,446396,2076,2013,2042493,925991,2968485
2019-09-26,2019,9,26,chokepoint6,Strait of Hormuz,9,11,3,2,32,25,57,257868,215281,9915,0,1548738,483065,2031804
2019-09-27,2019,9,27,chokepoint6,Strait of Hormuz,6,16,4,0,37,26,63,290149,560867,34754,0,1918598,885771,2804369
2019-09-28,2019,9,28,chokepoint6,Strait of Hormuz,14,27,3,1,54,45,99,512785,727140,45761,7905,2308148,1293593,3601741
2019-09-29,2019,9,29,chokepoint6,Strait of Hormuz,21,18,4,0,68,43,111,531443,1051315,52894,0,2781144,1635652,4416797
2019-09-30,2019,9,30,chokepoint6,Strait of Hormuz,12,15,1,2,55,30,85,320653,586056,8514,287,2672174,915511,3587686
2019-10-01,2019,10,1,chokepoint6,Strait of Hormuz,13,14,1,2,49,30,79,415706,310737,2040,0,2072001,728483,2800485
2019-10-02,2019,10,2,chokepoint6,Strait of Hormuz,12,17,3,2,49,34,83,462988,542140,5656,0,3459291,1010784,4470076
2019-10-03,2019,10,3,chokepoint6,Strait of Hormuz,7,7,1,3,33,18,51,318134,240411,4018,5700,1649205,568265,2217470
2019-10-04,2019,10,4,chokepoint6,Strait of Hormuz,3,4,4,0,32,11,43,103920,146764,29901,0,2170111,280586,2450698
2019-10-05,2019,10,5,chokepoint6,Strait of Hormuz,14,14,6,3,48,37,85,504157,434391,17972,5700,2945189,962221,3907411
2019-10-06,2019,10,6,chokepoint6,Strait of Hormuz,13,13,2,0,37,28,65,414781,574551,3045,0,1571612,992379,2563992
2019-10-07,2019,10,7,chokepoint6,Strait of Hormuz,7,6,3,1,40,17,57,172949,282523,36361,0,1164369,491833,1656203
2019-10-08,2019,10,8,chokepoint6,Strait of Hormuz,8,11,2,4,39,25,64,202073,249769,9111,9237,2296391,470191,2766582
2019-10-09,2019,10,9,chokepoint6,Strait of Hormuz,9,11,3,5,45,28,73,363656,125743,12586,16047,2881363,518033,3399397
2019-10-10,2019,10,10,chokepoint6,Strait of Hormuz,10,12,1,2,48,25,73,330217,258462,1151,3944,2429577,593775,3023352
2019-10-11,2019,10,11,chokepoint6,Strait of Hormuz,8,10,1,1,50,20,70,254654,331174,1737,0,2977664,587566,3565230
2019-10-12,2019,10,12,chokepoint6,Strait of Hormuz,20,16,4,1,35,41,76,475012,404321,21071,0,2357231,900404,3257635
2019-10-13,2019,10,13,chokepoint6,Strait of Hormuz,13,7,3,3,47,26,73,481349,211071,32862,2448,2550539,727731,3278270
2019-10-14,2019,10,14,chokepoint6,Strait of Hormuz,17,11,4,3,48,35,83,471370,694929,44744,2829,2138040,1213874,3351914
2019-10-15,2019,10,15,chokepoint6,Strait of Hormuz,11,15,3,3,54,32,86,378779,420316,16822,6704,2578924,822622,3401547
2019-10-16,2019,10,16,chokepoint6,Strait of Hormuz,14,20,3,2,67,39,106,541710,496605,28074,390,4191295,1066781,5258076
